               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.026646,            0.010109,            0.037258,             0.67533,             0.88927,             0.87377,             0.62354,            0.017485,            0.003067,            0.011768,           0.0089902,           0.0089902,           0.0089902
                  53,            0.028431,           0.0098816,            0.033544,             0.88473,             0.73385,             0.86464,             0.65726,            0.015109,           0.0033394,            0.012056,           0.0089704,           0.0089704,           0.0089704
                  54,            0.025362,            0.010114,            0.033858,             0.66028,             0.84858,             0.85707,             0.67343,             0.01434,           0.0029564,            0.012801,           0.0089506,           0.0089506,           0.0089506
                  55,            0.025621,            0.010186,             0.03359,             0.87133,             0.75276,             0.87067,             0.66324,            0.017339,           0.0028748,            0.011475,           0.0089308,           0.0089308,           0.0089308
                  56,             0.02683,           0.0098803,             0.03359,             0.72312,             0.88029,             0.89044,             0.65442,            0.015844,           0.0029148,            0.011148,            0.008911,            0.008911,            0.008911
                  57,            0.026255,            0.010025,            0.033685,             0.83134,              0.7816,             0.88026,             0.70169,            0.012974,           0.0030814,            0.010915,           0.0088912,           0.0088912,           0.0088912
                  58,            0.025196,           0.0099457,            0.035055,             0.70635,             0.88202,             0.90527,             0.68079,            0.014649,           0.0030922,            0.011327,           0.0088714,           0.0088714,           0.0088714
                  59,            0.027455,           0.0097687,            0.034894,             0.73587,              0.8842,             0.89591,              0.6963,            0.013451,           0.0029318,            0.010649,           0.0088516,           0.0088516,           0.0088516
                  60,            0.025445,           0.0099162,            0.031554,             0.77963,              0.8255,             0.88263,             0.69493,            0.014009,           0.0030923,            0.011356,           0.0088318,           0.0088318,           0.0088318
                  61,            0.025743,            0.010086,            0.032885,             0.70328,              0.8911,             0.89278,             0.65532,            0.014771,           0.0031941,            0.010798,            0.008812,            0.008812,            0.008812
                  62,            0.026565,           0.0099404,            0.033876,             0.74358,             0.78394,             0.88109,             0.68364,            0.013618,           0.0030435,             0.01303,           0.0087922,           0.0087922,           0.0087922
                  63,             0.02558,           0.0099865,             0.03194,              0.7541,             0.87085,             0.89983,             0.67696,            0.014683,           0.0028716,             0.01117,           0.0087724,           0.0087724,           0.0087724
                  64,            0.026399,           0.0097287,            0.031115,             0.69147,             0.86353,              0.8841,             0.69546,            0.012593,            0.002957,            0.012372,           0.0087526,           0.0087526,           0.0087526
                  65,            0.025114,           0.0097767,            0.031721,             0.80263,             0.85692,             0.89753,             0.68768,            0.013336,           0.0029424,            0.010277,           0.0087328,           0.0087328,           0.0087328
                  66,             0.02649,            0.010209,            0.030568,             0.79692,             0.87567,             0.90085,             0.67382,            0.014682,           0.0029405,            0.009338,            0.008713,            0.008713,            0.008713
                  67,            0.026059,           0.0096342,            0.031665,             0.74568,             0.87215,             0.91258,              0.7192,             0.01245,           0.0029582,            0.011411,           0.0086932,           0.0086932,           0.0086932
                  68,            0.025718,            0.010218,            0.029605,             0.76817,             0.86293,               0.903,             0.70114,            0.013245,           0.0029328,           0.0096649,           0.0086734,           0.0086734,           0.0086734
                  69,             0.02594,           0.0099762,            0.031764,               0.742,              0.8616,             0.91048,             0.71354,            0.013823,           0.0031085,           0.0085859,           0.0086536,           0.0086536,           0.0086536
                  70,            0.026489,           0.0097987,            0.033086,              0.7758,             0.87946,             0.88738,             0.64736,            0.015997,            0.003051,             0.00884,           0.0086338,           0.0086338,           0.0086338
                  71,             0.02557,            0.009876,            0.030396,             0.80585,             0.80671,             0.89443,             0.66378,            0.015808,           0.0031258,            0.010435,            0.008614,            0.008614,            0.008614
                  72,            0.026623,            0.010074,            0.031605,             0.80345,             0.90319,             0.91683,             0.67773,            0.015099,           0.0032106,           0.0084875,           0.0085942,           0.0085942,           0.0085942
                  73,            0.024122,           0.0099464,            0.027612,             0.80292,             0.85767,             0.89674,             0.69842,            0.013344,           0.0027082,           0.0082098,           0.0085744,           0.0085744,           0.0085744
                  74,            0.027083,           0.0098349,            0.030272,              0.8188,             0.87386,              0.8936,             0.68749,            0.014273,           0.0029911,           0.0095021,           0.0085546,           0.0085546,           0.0085546
                  75,            0.026014,           0.0094723,            0.031054,             0.80035,             0.86398,             0.91173,             0.71847,            0.012174,             0.00275,           0.0082305,           0.0085348,           0.0085348,           0.0085348
                  76,            0.025613,            0.009942,            0.028185,             0.89264,             0.86668,             0.93285,             0.72014,            0.013735,            0.002821,           0.0067888,            0.008515,            0.008515,            0.008515
                  77,            0.024886,           0.0095867,            0.027757,             0.85719,             0.83184,             0.92367,             0.73174,            0.013099,           0.0028447,           0.0087652,           0.0084952,           0.0084952,           0.0084952
                  78,            0.025466,           0.0098514,            0.028396,             0.83035,             0.87347,             0.92084,             0.75354,            0.014051,           0.0028822,           0.0074275,           0.0084754,           0.0084754,           0.0084754
                  79,            0.025077,           0.0098303,            0.030773,             0.72223,             0.90727,             0.90025,             0.66827,             0.01559,           0.0029926,           0.0078986,           0.0084556,           0.0084556,           0.0084556
                  80,            0.026281,           0.0095446,            0.028639,             0.77412,             0.85971,             0.90523,             0.67818,            0.015199,           0.0029905,           0.0089028,           0.0084358,           0.0084358,           0.0084358
                  81,            0.026157,           0.0096185,            0.028525,             0.80372,             0.86811,              0.9069,              0.6815,            0.014275,            0.002718,           0.0078705,            0.008416,            0.008416,            0.008416
                  82,            0.025245,           0.0098811,            0.029687,             0.75248,             0.86106,             0.89889,             0.71667,            0.012718,           0.0027389,           0.0098157,           0.0083962,           0.0083962,           0.0083962
                  83,            0.024532,           0.0092793,            0.026219,             0.77413,             0.84917,             0.90279,             0.69742,             0.01245,           0.0028545,           0.0096467,           0.0083764,           0.0083764,           0.0083764
                  84,             0.02553,           0.0098185,             0.02851,             0.73061,             0.88611,             0.90867,             0.71527,            0.012471,           0.0029088,           0.0088768,           0.0083566,           0.0083566,           0.0083566
                  85,            0.024488,           0.0098371,            0.029167,             0.76602,               0.868,             0.92783,             0.73734,            0.012769,            0.002969,              0.0097,           0.0083368,           0.0083368,           0.0083368
                  86,            0.026243,           0.0092576,            0.026337,             0.78844,             0.85633,             0.90216,             0.69128,            0.013182,           0.0030859,            0.010046,            0.008317,            0.008317,            0.008317
                  87,            0.025385,           0.0095312,            0.027017,             0.83805,             0.85814,             0.90873,             0.67984,            0.014152,           0.0029646,           0.0083982,           0.0082972,           0.0082972,           0.0082972
                  88,            0.024131,           0.0093993,            0.026862,             0.87838,             0.84693,             0.91858,             0.70956,            0.013631,            0.002826,           0.0082476,           0.0082774,           0.0082774,           0.0082774
                  89,            0.023795,           0.0095183,            0.026092,             0.85696,             0.83935,             0.91966,             0.74893,             0.01365,           0.0027956,           0.0089884,           0.0082576,           0.0082576,           0.0082576
                  90,            0.023963,           0.0097197,            0.026397,             0.82871,             0.82023,             0.90449,             0.68651,            0.014316,            0.002854,            0.010057,           0.0082378,           0.0082378,           0.0082378
                  91,            0.022385,           0.0095452,            0.025873,             0.80886,             0.81935,             0.89317,             0.70506,            0.012728,           0.0027438,            0.010614,            0.008218,            0.008218,            0.008218
                  92,            0.024882,           0.0096562,            0.029967,             0.78053,             0.85335,             0.91249,               0.687,            0.015365,           0.0028498,           0.0094078,           0.0081982,           0.0081982,           0.0081982
                  93,            0.023348,            0.010096,            0.026488,             0.82993,             0.85397,             0.92312,             0.73072,            0.013646,             0.00286,           0.0080643,           0.0081784,           0.0081784,           0.0081784
                  94,            0.024032,           0.0094835,            0.026182,             0.83995,             0.85405,             0.90168,             0.69126,            0.012847,           0.0028683,           0.0075356,           0.0081586,           0.0081586,           0.0081586
                  95,            0.024194,           0.0093103,            0.026628,             0.83466,             0.86111,             0.90294,              0.7303,            0.010932,           0.0027256,           0.0074647,           0.0081388,           0.0081388,           0.0081388
                  96,            0.024538,           0.0093485,            0.027775,             0.89493,             0.86513,             0.90383,             0.71942,            0.011773,           0.0029294,             0.00952,            0.008119,            0.008119,            0.008119
                  97,             0.02481,            0.009682,            0.030158,             0.85109,             0.86317,             0.90526,             0.70537,            0.012604,            0.002759,           0.0079432,           0.0080992,           0.0080992,           0.0080992
                  98,            0.021781,           0.0093691,            0.025874,             0.89375,             0.81192,             0.88745,             0.70225,            0.013394,           0.0028136,           0.0096924,           0.0080794,           0.0080794,           0.0080794
                  99,            0.024836,           0.0092114,            0.025008,              0.7834,             0.87606,             0.89944,              0.6789,            0.015074,           0.0029778,           0.0095386,           0.0080596,           0.0080596,           0.0080596
